pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001107,3,7:30,18:30,0,60,320
30001107,4,7:30,18:30,0,60,320
30001107,5,7:30,18:30,0,60,320
30001107,6,7:30,18:30,0,60,320
30001107,7,7:30,12:30,0,60,320
30001108,2,7:30,18:30,0,180,240
30001108,3,7:30,18:30,0,180,240
30001108,4,7:30,18:30,0,180,240
30001108,5,7:30,18:30,0,180,240
30001108,6,7:30,18:30,0,180,240
30001108,7,7:30,12:30,0,180,240
30001109,2,7:30,18:30,0,60,320
30001109,3,7:30,18:30,0,60,320
30001109,4,7:30,18:30,0,60,320
30001109,5,7:30,18:30,0,60,320
30001109,6,7:30,18:30,0,60,320
30001109,7,7:30,12:30,0,60,320
30001110,2,7:30,18:30,0,240,240
30001110,3,7:30,18:30,0,240,240
30001110,4,7:30,18:30,0,240,240
30001110,5,7:30,18:30,0,240,240
30001110,6,7:30,18:30,0,240,240
30001110,7,7:30,12:30,0,240,240
30001111,2,7:30,18:30,0,60,320
30001111,3,7:30,18:30,0,60,320
30001111,4,7:30,18:30,0,60,320
30001111,5,7:30,18:30,0,60,320
30001111,6,7:30,18:30,0,60,320
30001111,7,7:30,12:30,0,60,320
30001112,2,7:30,18:30,0,120,320
30001112,3,7:30,18:30,0,120,320
30001112,4,7:30,18:30,0,120,320
30001112,5,7:30,18:30,0,120,320
30001112,6,7:30,18:30,0,120,320
30001112,7,7:30,12:30,0,120,320
30001113,2,7:30,18:30,0,120,320
30001113,3,7:30,18:30,0,120,320
30001113,4,7:30,18:30,0,120,320
30001113,5,7:30,18:30,0,120,320
30001113,6,7:30,18:30,0,120,320
30001113,7,7:30,12:30,0,120,320
30001114,2,7:30,18:30,0,660,80
30001114,3,7:30,18:30,0,660,80
30001114,4,7:30,18:30,0,660,80
30001114,5,7:30,18:30,0,660,80
30001114,6,7:30,18:30,0,660,80
30001114,7,7:30,12:30,0,660,80
30001115,2,7:30,18:30,0,660,80
30001115,3,7:30,18:30,0,660,80
30001115,4,7:30,18:30,0,660,80
30001115,5,7:30,18:30,0,660,80
30001115,6,7:30,18:30,0,660,80
30001115,7,7:30,12:30,0,660,80
30001116,2,7:30,18:30,0,120,320
30001116,3,7:30,18:30,0,120,320
30001116,4,7:30,18:30,0,120,320
30001116,5,7:30,18:30,0,120,320
30001116,6,7:30,18:30,0,120,320
30001116,7,7:30,12:30,0,120,320
30001117,2,7:30,18:30,0,240,170
30001117,3,7:30,18:30,0,240,170
30001117,4,7:30,18:30,0,240,170
30001117,5,7:30,18:30,0,240,170
30001117,6,7:30,18:30,0,240,170
30001117,7,7:30,12:30,0,240,170
30001118,2,7:30,18:30,0,120,320
30001118,3,7:30,18:30,0,120,320
30001118,4,7:30,18:30,0,120,320
30001118,5,7:30,18:30,0,120,320
30001118,6,7:30,18:30,0,120,320
30001119,2,7:30,18:30,0,120,320
30001119,3,7:30,18:30,0,120,320
30001119,4,7:30,18:30,0,120,320
30001119,5,7:30,18:30,0,120,320
